read,frames,blocks,samplerate,file
16.08s,771888,3015,48000Hz,2.aiff
16.17s,775940,3031,48000Hz,3.aiff
16.20s,777761,3038,48000Hz,4.aiff
16.18s,776487,3033,48000Hz,5.aiff
16.17s,776034,3031,48000Hz,6.aiff
16.21s,778234,3039,48000Hz,7.aiff
16.15s,775395,3028,48000Hz,8.aiff
16.12s,773912,3023,48000Hz,9.aiff
16.23s,778937,3042,48000Hz,10.aiff
16.14s,774919,3027,48000Hz,11.aiff
16.22s,778505,3041,48000Hz,12.aiff
16.22s,778505,3041,48000Hz,13.aiff
16.22s,778505,3041,48000Hz,14.aiff
16.11s,773229,3020,48000Hz,15.aiff
16.11s,773421,3021,48000Hz,16.aiff
16.16s,775701,3030,48000Hz,17.aiff
16.11s,773064,3019,48000Hz,18.aiff
16.17s,776033,3031,48000Hz,19.aiff
16.06s,770664,3010,48000Hz,20.aiff
16.11s,773229,3020,48000Hz,21.aiff
16.29s,781911,3054,48000Hz,22.aiff
16.14s,774841,3026,48000Hz,23.aiff
16.23s,779187,3043,48000Hz,24.aiff
16.19s,776917,3034,48000Hz,25.aiff
17.12s,821825,3210,48000Hz,26.aiff
15.74s,755455,2950,48000Hz,27.aiff
16.07s,771581,3013,48000Hz,28.aiff
16.20s,777565,3037,48000Hz,29.aiff
16.15s,774972,3027,48000Hz,30.aiff
16.24s,779701,3045,48000Hz,31.aiff
16.22s,778685,3041,48000Hz,32.aiff
16.02s,768767,3002,48000Hz,33.aiff
16.07s,771527,3013,48000Hz,34.aiff
16.27s,780976,3050,48000Hz,35.aiff
16.10s,772763,3018,48000Hz,36.aiff
16.09s,772364,3017,48000Hz,37.aiff
16.17s,775967,3031,48000Hz,38.aiff
16.37s,785897,3069,48000Hz,39.aiff
16.07s,771171,3012,48000Hz,40.aiff
16.09s,772527,3017,48000Hz,41.aiff
16.07s,771383,3013,48000Hz,42.aiff
16.18s,776609,3033,48000Hz,43.aiff
16.09s,772322,3016,48000Hz,44.aiff
16.17s,776395,3032,48000Hz,45.aiff
16.02s,768806,3003,48000Hz,baseline-120.aiff
16.08s,771888,3015,48000Hz,2.aiff
16.17s,775940,3031,48000Hz,3.aiff
16.20s,777761,3038,48000Hz,4.aiff
16.18s,776487,3033,48000Hz,5.aiff
16.17s,776034,3031,48000Hz,6.aiff
16.21s,778234,3039,48000Hz,7.aiff
16.15s,775395,3028,48000Hz,8.aiff
16.12s,773912,3023,48000Hz,9.aiff
16.23s,778937,3042,48000Hz,10.aiff
16.14s,774919,3027,48000Hz,11.aiff
16.22s,778505,3041,48000Hz,12.aiff
16.22s,778505,3041,48000Hz,13.aiff
16.22s,778505,3041,48000Hz,14.aiff
16.11s,773229,3020,48000Hz,15.aiff
16.11s,773421,3021,48000Hz,16.aiff
16.16s,775701,3030,48000Hz,17.aiff
16.11s,773064,3019,48000Hz,18.aiff
16.17s,776033,3031,48000Hz,19.aiff
16.06s,770664,3010,48000Hz,20.aiff
16.11s,773229,3020,48000Hz,21.aiff
16.29s,781911,3054,48000Hz,22.aiff
16.14s,774841,3026,48000Hz,23.aiff
16.23s,779187,3043,48000Hz,24.aiff
16.19s,776917,3034,48000Hz,25.aiff
17.12s,821825,3210,48000Hz,26.aiff
15.74s,755455,2950,48000Hz,27.aiff
16.07s,771581,3013,48000Hz,28.aiff
16.20s,777565,3037,48000Hz,29.aiff
16.15s,774972,3027,48000Hz,30.aiff
16.24s,779701,3045,48000Hz,31.aiff
16.22s,778685,3041,48000Hz,32.aiff
16.02s,768767,3002,48000Hz,33.aiff
16.07s,771527,3013,48000Hz,34.aiff
16.27s,780976,3050,48000Hz,35.aiff
16.10s,772763,3018,48000Hz,36.aiff
16.09s,772364,3017,48000Hz,37.aiff
16.17s,775967,3031,48000Hz,38.aiff
16.37s,785897,3069,48000Hz,39.aiff
16.07s,771171,3012,48000Hz,40.aiff
16.09s,772527,3017,48000Hz,41.aiff
16.07s,771383,3013,48000Hz,42.aiff
16.18s,776609,3033,48000Hz,43.aiff
16.09s,772322,3016,48000Hz,44.aiff
16.17s,776395,3032,48000Hz,45.aiff
16.08s,771888,3015,48000Hz,2.aiff
16.17s,775940,3031,48000Hz,3.aiff
16.20s,777761,3038,48000Hz,4.aiff
16.18s,776487,3033,48000Hz,5.aiff
16.17s,776034,3031,48000Hz,6.aiff
16.21s,778234,3039,48000Hz,7.aiff
16.15s,775395,3028,48000Hz,8.aiff
16.12s,773912,3023,48000Hz,9.aiff
16.23s,778937,3042,48000Hz,10.aiff
16.14s,774919,3027,48000Hz,11.aiff
16.22s,778505,3041,48000Hz,12.aiff
16.22s,778505,3041,48000Hz,13.aiff
16.22s,778505,3041,48000Hz,14.aiff
16.11s,773229,3020,48000Hz,15.aiff
16.11s,773421,3021,48000Hz,16.aiff
16.16s,775701,3030,48000Hz,17.aiff
16.11s,773064,3019,48000Hz,18.aiff
16.17s,776033,3031,48000Hz,19.aiff
16.06s,770664,3010,48000Hz,20.aiff
16.11s,773229,3020,48000Hz,21.aiff
16.29s,781911,3054,48000Hz,22.aiff
16.14s,774841,3026,48000Hz,23.aiff
16.23s,779187,3043,48000Hz,24.aiff
16.19s,776917,3034,48000Hz,25.aiff
17.12s,821825,3210,48000Hz,26.aiff
15.74s,755455,2950,48000Hz,27.aiff
16.07s,771581,3013,48000Hz,28.aiff
16.20s,777565,3037,48000Hz,29.aiff
16.15s,774972,3027,48000Hz,30.aiff
16.24s,779701,3045,48000Hz,31.aiff
16.22s,778685,3041,48000Hz,32.aiff
16.02s,768767,3002,48000Hz,33.aiff
16.07s,771527,3013,48000Hz,34.aiff
16.27s,780976,3050,48000Hz,35.aiff
16.10s,772763,3018,48000Hz,36.aiff
16.09s,772364,3017,48000Hz,37.aiff
16.17s,775967,3031,48000Hz,38.aiff
16.37s,785897,3069,48000Hz,39.aiff
16.07s,771171,3012,48000Hz,40.aiff
16.09s,772527,3017,48000Hz,41.aiff
16.07s,771383,3013,48000Hz,42.aiff
16.18s,776609,3033,48000Hz,43.aiff
16.09s,772322,3016,48000Hz,44.aiff
16.17s,776395,3032,48000Hz,45.aiff
